Total records loaded: 223983

Question 1: Top 10 highest altitude points
BikeDataRecord [timestamp=1142011266, distance=286607.84, heartrate=111, speed=8.332, alt=20.8, lat=39.51666, lng=-76.15642, pow=132, cad=82, degC=28.0]
BikeDataRecord [timestamp=1142065373, distance=56882.98, heartrate=124, speed=5.785, alt=94.4, lat=39.13079, lng=-77.55304, pow=132, cad=69, degC=5.0]
BikeDataRecord [timestamp=1141885539, distance=55963.29, heartrate=116, speed=8.099, alt=36.4, lat=36.99441, lng=-77.11962, pow=132, cad=76, degC=20.0]
BikeDataRecord [timestamp=1141928867, distance=355385.62, heartrate=113, speed=6.858, alt=13.6, lat=38.32259, lng=-75.37353, pow=132, cad=64, degC=25.0]
BikeDataRecord [timestamp=1142182772, distance=110331.36, heartrate=104, speed=7.045, alt=47.6, lat=37.72706, lng=-76.89018, pow=132, cad=77, degC=29.0]
BikeDataRecord [timestamp=1141975185, distance=57345.34, heartrate=103, speed=7.231, alt=17.4, lat=38.59606, lng=-75.42131, pow=132, cad=70, degC=10.0]
BikeDataRecord [timestamp=1142182771, distance=110324.09, heartrate=104, speed=7.082, alt=47.6, lat=37.72706, lng=-76.89026, pow=132, cad=77, degC=29.0]
BikeDataRecord [timestamp=1142086893, distance=179190.28, heartrate=108, speed=6.186, alt=36.4, lat=38.7543, lng=-76.65899, pow=132, cad=71, degC=21.0]
BikeDataRecord [timestamp=1141975182, distance=57322.96, heartrate=104, speed=7.269, alt=17.4, lat=38.59599, lng=-75.42107, pow=132, cad=70, degC=10.0]
BikeDataRecord [timestamp=1141914094, distance=237994.8, heartrate=111, speed=9.135, alt=15.0, lat=37.47796, lng=-75.84978, pow=132, cad=67, degC=22.0]
BikeDataRecord [timestamp=1141975180, distance=57308.59, heartrate=105, speed=7.222, alt=17.4, lat=38.59594, lng=-75.42092, pow=132, cad=71, degC=10.0]
BikeDataRecord [timestamp=1141975179, distance=57301.5, heartrate=105, speed=7.25, alt=17.4, lat=38.59591, lng=-75.42085, pow=132, cad=70, degC=10.0]
BikeDataRecord [timestamp=1141984362, distance=109529.18, heartrate=97, speed=6.858, alt=10.2, lat=38.72025, lng=-75.92456, pow=132, cad=75, degC=6.0]
