array,random_access,1,2364.40
array,random_access,2,491.20
array,random_access,3,307.50
array,random_access,4,308.20
array,random_access,5,453.50
arraylist,random_access,1,23874.80
arraylist,random_access,2,6117.00
arraylist,random_access,3,2881.80
arraylist,random_access,4,1341.30
arraylist,random_access,5,1441.40
array,append,1,4461.60
array,append,2,1172.00
array,append,3,777.20
array,append,4,725.60
array,append,5,1093.00
arraylist,append,1,4.80
arraylist,append,2,0.20
arraylist,append,3,0.10
arraylist,append,4,0.20
arraylist,append,5,0.10
array,insert,1,4593.40
array,insert,2,1245.50
array,insert,3,1944.50
array,insert,4,1997.10
array,insert,5,1960.00
arraylist,insert,1,3.70
arraylist,insert,2,0.30
arraylist,insert,3,0.10
arraylist,insert,4,0.10
arraylist,insert,5,0.10
array,remove,1,2097.50
array,remove,2,816.00
array,remove,3,841.80
array,remove,4,701.80
array,remove,5,749.30
arraylist,remove,1,559771.60
arraylist,remove,2,515757.80
arraylist,remove,3,394610.50
arraylist,remove,4,289885.50
arraylist,remove,5,282215.80
